"Variable_name","Variable_type","Variable_label"
"aow_person_id","character","Age of Wonder person ID"
"BiBPersonID","character","BiB cohort person ID"
"is_bib","numeric","Participant is in original BiB cohort"
"aow_recruitment_id","character","Age of Wonder year group recruitment ID"
"recruitment_era","character","Recruitment era (academic year)"
"age_recruitment_y","numeric","Age at recruitment in years"
"age_recruitment_m","numeric","Age at recruitment in months"
"gender","haven_labelled","Gender reported by school"
"ethnicity_1","haven_labelled","Ethnicity reported by school - higher level category"
"ethnicity_2","haven_labelled","Ethnicity reported by school - lower level category"
"birth_year","numeric","Year of birth"
"birth_month","numeric","Month of birth"
"school_id","character","Pseudo school ID"
"year_group","haven_labelled","Year group at recruitment"
"form_tutor_id","character","Pseudo recruitment form tutor ID"
"age_survey_y","numeric","Age (years) at survey date"
"age_survey_m","numeric","Age (months) at survey date"
"survey_version","haven_labelled","Survey version"
"survey_mode","haven_labelled","Survey taken online or offline?"
"awb1_2_country_brth","haven_labelled","What is your country of birth?"
"aw1_2_years_lvd_a4","haven_labelled","How many years have you lived in the UK?"
"aw1_2_years_lvd_r4","haven_labelled","How many years have you lived in the UK?"
"awb1_2_ethnicity_r4","haven_labelled","What is your ethnicity?"
"awb1_2_ethnicity_whte","haven_labelled","Ethnicity: White"
"awb1_2_ethnicity_whte_othr","character","Ethnicity: White: other"
"awb1_2_ethnicity_mix","haven_labelled","Ethnicity: Mixed or Multiple ethnic groups"
"awb1_2_ethnicity_mix_othr","character","Ethnicity: Mixed or Multiple ethnic groups: other"
"awb1_2_ethnicity_asn","haven_labelled","Ethnicity: Asian or Asian British"
"awb1_2_ethnicity_asn_othr","character","Ethnicity: Asian or Asian British: other"
"awb1_2_ethnicity_blck","haven_labelled","Ethnicity: Black, Black British, Caribbean or African"
"awb1_2_ethnicity_blck_afrcn","character","Ethnicity: African: specify"
"awb1_2_ethnicity_whte_crrbn","character","Ethnicity: Black, Black British, Caribbean: specify"
"awb1_2_ethnicity_arb_a4","haven_labelled","Ethnicity: Arab"
"awb1_2_ethnicity_othr_othr","character","Ethnicity: other"
"awb1_2_ethnicity_arb_r4","haven_labelled","Arab"
"awb1_2_language_hme___1","haven_labelled","Which of these languages is usually spoken at home? (choice=English)"
"awb1_2_language_hme___2","haven_labelled","Which of these languages is usually spoken at home? (choice=Urdu)"
"awb1_2_language_hme___3","haven_labelled","Which of these languages is usually spoken at home? (choice=Punjabi)"
"awb1_2_language_hme___4","haven_labelled","Which of these languages is usually spoken at home? (choice=Gujarati)"
"awb1_2_language_hme___5","haven_labelled","Which of these languages is usually spoken at home? (choice=Bengali)"
"awb1_2_language_hme___6","haven_labelled","Which of these languages is usually spoken at home? (choice=Hindko)"
"awb1_2_language_hme___7","haven_labelled","Which of these languages is usually spoken at home? (choice=Polish)"
"awb1_2_language_hme___8","haven_labelled","Which of these languages is usually spoken at home? (choice=Pashto)"
"awb1_2_language_hme___9","haven_labelled","Which language is spoken at home? Choice = Other"
