"Variable_name","Variable_type","Variable_label"
"aow_person_id","character","Age of Wonder person ID"
"BiBPersonID","character","BiB cohort person ID"
"is_bib","numeric","Participant is in original BiB cohort"
"aow_recruitment_id","character","Age of Wonder recruitment ID"
"recruitment_era","character","Recruitment era (academic year)"
"age_recruitment_y","numeric","Age at recruitment in years"
"age_recruitment_m","numeric","Age at recruitment in months"
"gender","haven_labelled","Gender reported by school"
"ethnicity_1","haven_labelled","Ethnicity reported by school - higher level category"
"ethnicity_2","haven_labelled","Ethnicity reported by school - lower level category"
"birth_year","numeric","Year of birth"
"birth_month","numeric","Month of birth"
"school_id","character","Pseudo school ID"
"year_group","character","Year group at recruitment"
"form_tutor_id","character","Pseudo recruitment form tutor ID"
"age_survey_y","numeric","Age (years) at survey date"
"age_survey_m","numeric","Age (months) at survey date"
"survey_version","numeric","Survey version"
"survey_mode","haven_labelled","Survey taken online or offline?"
"awb5_1_general_hlth","haven_labelled","How good is your health in general?"
"awb5_1_hearing_sght_1","haven_labelled","Do you wear glasses or contact lenses?"
"awb5_1_hearing_sght_2","haven_labelled","Do you have any difficulty seeing?"
"awb5_1_hearing_sght_3","haven_labelled","Do you have any difficulty hearing or use a hearing aid, including if you cannot"
"awb5_1_hearing_sght_4","haven_labelled","Have you ever had your eyes tested outside of school?"
"awb5_1_food_dt_1","haven_labelled","How often do you and your family usually have meals together?"
"awb5_1_food_dt_2","haven_labelled","How often do you eat breakfast over a week?"
"awb5_1_food_dt_3","haven_labelled","How often do you eat at least 2 portions of fruit per day?"
"awb5_1_food_dt_4","haven_labelled","How often do you eat at least 2 portions of vegetables per day?"
"awb5_1_food_dt_5","haven_labelled","How often do you drink diet drinks or sugar free drinks like diet cola or sugar-"
"awb5_1_food_dt_6_r7","haven_labelled","How often do you drink sugary drinks like regular cola or squash?"
"awb5_1_food_dt_7","haven_labelled","How often do you eat fast food such as McDonalds, Burger King, KFC or other fast"
"awb5_1_food_dt_8","haven_labelled","How would you describe your diet?"
"awb4_5_location_1","haven_labelled","Where do you normally eat your meals?"
"awb4_5_location_2","character","Where do you normally eat your meals? Describe"
"awb2_12_eat_hbt_1_a5","haven_labelled","Have you deliberately limited food intake to influence weight?"
"awb2_12_eat_hbt_2_a5","haven_labelled","Have you gone for long periods of time without eating to influence weight?"
"awb2_12_eat_hbt_3_a5","haven_labelled","Has thinking about food/calories made it difficult to concentrate on interests?"
"awb2_12_eat_hbt_4_a5","haven_labelled","Has thinking about your weight made it difficult to concentrate on interests?"
"awb2_12_eat_hbt_5_a5","haven_labelled","Have you had a definite fear that you might gain weight?"
"awb2_12_eat_hbt_6_a5","haven_labelled","Have you had a strong desire to lose weight?"
"awb2_12_eat_hbt_7_a5","haven_labelled","Have you tried to control weight by making yourself sick/taking laxatives?"
"awb2_12_eat_hbt_8_a5","haven_labelled","Have you exercised compulsively to control weight?"
"awb2_12_eat_hbt_9_a5","haven_labelled","Have you felt like you've lost control over eating?"
