"Variable_name","Variable_type","Variable_label"
"aow_person_id","character","Age of Wonder person ID"
"BiBPersonID","character","BiB cohort person ID"
"is_bib","numeric","Participant is in original BiB cohort"
"aow_recruitment_id","character","Age of Wonder recruitment ID"
"recruitment_era","character","Recruitment era (academic year)"
"age_recruitment_y","numeric","Age at recruitment in years"
"age_recruitment_m","numeric","Age at recruitment in months"
"gender","haven_labelled","Gender reported by school"
"ethnicity_1","haven_labelled","Ethnicity reported by school - higher level category"
"ethnicity_2","haven_labelled","Ethnicity reported by school - lower level category"
"birth_year","numeric","Year of birth"
"birth_month","numeric","Month of birth"
"school_id","character","Pseudo school ID"
"year_group","character","Year group at recruitment"
"form_tutor_id","character","Pseudo recruitment form tutor ID"
"age_survey_y","numeric","Age (years) at survey date"
"age_survey_m","numeric","Age (months) at survey date"
"survey_version","numeric","Survey version"
"survey_mode","haven_labelled","Survey taken online or offline?"
"awb7_1_like","haven_labelled","I enjoy school"
"awb7_1_challenge","haven_labelled","Teachers help me to do my best"
"awb7_1_enjoy","haven_labelled","My teachers give me work that challenges me"
"awb7_1_teachers","haven_labelled","I enjoy learning at this school"
"awb7_1_listen","haven_labelled","Teachers listen to what I have to say in lessons"
"awb7_1_trust","haven_labelled","There is an adult at school I can talk to if something is worrying me"
"awb7_1_behaviour_lssns","haven_labelled","The behaviour of other pupils in my lessons is good"
"awb7_1_behaviour_schl","haven_labelled","The behaviour of other pupils around school is good"
"awb7_1_bullying_1_on","haven_labelled","Is bullying a problem at your school?"
"awb7_1_safe_r8","haven_labelled","I feel safe when I am at school"
"awb7_1_bullying_2","haven_labelled","Do you think your school takes bullying seriously?"
"awb7_1_physcial_hlth","haven_labelled","My school encourages me to look after my physical health"
"awb7_1_mental_hlth","haven_labelled","My school encourages me to look after my emotional and mental health"
"awb7_1_indep","haven_labelled","My school encourages me to be independent and to take on responsibilities"
"awb7_1_respect","haven_labelled","Does your school encourage you to respect people from other backgrounds?"
"awb7_1_future_r8","haven_labelled","Does your school provide you with next steps?"
"awb7_2_water_1","haven_labelled","Are you able to get water at school?"
"awb7_2y_water___1","haven_labelled","Can you get water from water fountain at school?"
"awb7_2y_water___2","haven_labelled","Can you get water from taps in classroom at school?"
"awb7_2y_water___3","haven_labelled","Can you get water from canteen/dinner room at school?"
"awb7_2y_water___4","haven_labelled","Can you get water from sink in toilets at school?"
"awb7_2y_water___5","haven_labelled","Can you get water from class water bottle in school?"
"awb7_2y_water___6","haven_labelled","Can you get water from your own bottle in school?"
"awb7_2y_water___7","haven_labelled","Can you get water from a water machine/cool at school?"
"awb7_2y_water___8","haven_labelled","Which other places can you get water from in school?"
"awb7_2_water_3","character","If you can, where can you get it from? Describe"
"awb7_2_grades_a5","haven_labelled","Competition with other people for grades is intense"
"awb7_2_fam_diss_a5","haven_labelled","If I dont do well in school, my family will be disappointed"
"awb7_2_prnt_preshr_a5","haven_labelled","My teachers put too much pressure on me to do well in school"
