"Variable_name","Variable_type","Variable_label"
"aow_person_id","character","Age of Wonder person ID"
"BiBPersonID","character","BiB cohort person ID"
"is_bib","numeric","Participant is in original BiB cohort"
"aow_recruitment_id","character","Age of Wonder year group recruitment ID"
"recruitment_era","character","Recruitment era (academic year)"
"age_recruitment_y","numeric","Age at recruitment in years"
"age_recruitment_m","numeric","Age at recruitment in months"
"gender","haven_labelled","Gender reported by school"
"ethnicity_1","haven_labelled","Ethnicity reported by school - higher level category"
"ethnicity_2","haven_labelled","Ethnicity reported by school - lower level category"
"birth_year","numeric","Year of birth"
"birth_month","numeric","Month of birth"
"school_id","character","Pseudo school ID"
"year_group","haven_labelled","Year group at recruitment"
"form_tutor_id","character","Pseudo recruitment form tutor ID"
"age_survey_y","numeric","Age (years) at survey date"
"age_survey_m","numeric","Age (months) at survey date"
"survey_version","haven_labelled","Survey version"
"survey_mode","haven_labelled","Survey taken online or offline?"
"own_fin_total","numeric","Own Financial Resources (higher = more sources)"
"food_avail_total","numeric","Food Availability (higher = more food insecurity)"
"edeqs_total","numeric","Eating Disorder Examination (higher = more disordered)"
"edeqs_cat","haven_labelled","Eating Disorder Examination category"
"paqa_total","numeric","Physical Activity Questionnaire (higher = more active)"
"paqa_mean","numeric","Physical Activity Questionnaire (higher = more active)"
"yapsed_total","numeric","Youth Activity Profile (higher = more sedentary)"
"yapsed_mean","numeric","Youth Activity Profile mean (higher = more sedentary)"
